Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2014-11-17,"18.500,00","18.500,00","18.500,00","18.500,00","2,78",10,185.0,185.0
2014-11-18,"18.600,00","18.600,00","18.600,00","18.600,00","0,54",11,204.6,204.6
2014-11-19,"18.999,00","18.999,00","18.999,00","18.999,00","2,15",15,284.985,284.985
2014-11-21,"19.000,00","19.000,00","19.000,00","19.000,00","0,01",50,950.0,950.0
2014-11-24,"19.570,00","19.570,00","19.570,00","19.570,00","3,00",5,97.85,97.85
2014-11-25,"19.567,00","19.567,00","19.567,00","19.567,00","-0,02",14,273.938,273.938
2014-11-27,"19.800,00","19.800,00","19.800,00","19.800,00","1,19",15,297.0,297.0
2014-12-01,"19.210,00","19.210,00","19.210,00","19.210,00","-2,98",23,441.83,441.83
2014-12-05,"19.211,00","19.211,00","19.211,00","19.211,00","0,01",30,576.33,576.33
2015-01-12,"19.200,00","19.200,00","19.200,00","19.200,00","-0,06",20,384.0,384.0
2015-01-13,"19.211,00","19.211,00","19.211,00","19.211,00","0,06",35,672.385,672.385
2015-01-16,"20.000,00","20.200,00","20.000,00","20.058,82","1,71",17,341.0,341.0
2015-01-20,"20.001,00","21.820,00","20.001,00","20.980,46","4,59",13,272.746,272.746
2015-01-22,"21.000,00","21.000,00","21.000,00","21.000,00","0,09",3,63.0,63.0
2015-01-30,"19.800,00","19.800,00","19.800,00","19.800,00","-5,71",5,99.0,99.0
2015-02-02,"19.800,00","19.800,00","19.800,00","19.800,00","0,00",23,455.4,455.4
2015-02-04,"20.350,00","20.350,00","20.350,00","20.350,00","2,78",6,122.1,122.1
2015-02-05,"20.390,00","20.390,00","20.390,00","20.390,00","0,20",2,40.78,40.78
